id,здание,адрес,этаж,номер аудитории,вместимость,оборудование
0,Главный корпус,Кремлевская 18,1,выход,,
1,Главный корпус,Кремлевская 18,подвал,008а,20,Лаборатория
2,Главный корпус,Кремлевская 18,подвал,013,20,Лаборатория
3,Главный корпус,Кремлевская 18,подвал,015,20,Лаборатория
4,Главный корпус,Кремлевская 18,подвал,026,20,Лаборатория
5,Главный корпус,Кремлевская 18,подвал,041,20,Лаборатория
6,Главный корпус,Кремлевская 18,подвал,042,20,Лаборатория
7,Главный корпус,Кремлевская 18,подвал,043,20,Лаборатория
8,Главный корпус,Кремлевская 18,подвал,058,20,Проектор
9,Главный корпус,Кремлевская 18,подвал,011-1,20,Проектор
10,Главный корпус,Кремлевская 18,1,113,50,
11,Главный корпус,Кремлевская 18,1,143,50,Проектор
12,Главный корпус,Кремлевская 18,1,144,50,
13,Главный корпус,Кремлевская 18,1,164,50,Проектор
14,Главный корпус,Кремлевская 18,1,172,50,
15,Главный корпус,Кремлевская 18,2,1-яфиз,200,Трибуна
16,Главный корпус,Кремлевская 18,2,2-яфиз,200,Трибуна
17,Главный корпус,Кремлевская 18,2,3-яфиз,200,Трибуна
18,Главный корпус,Кремлевская 18,2,207,50,
19,Главный корпус,Кремлевская 18,2,209,50,
20,Главный корпус,Кремлевская 18,2,210,50,
21,Главный корпус,Кремлевская 18,2,211,50,Проектор
22,Главный корпус,Кремлевская 18,2,212,50,
23,Главный корпус,Кремлевская 18,2,213,50,
24,Главный корпус,Кремлевская 18,2,214,50,
25,Главный корпус,Кремлевская 18,2,233,50,
26,Главный корпус,Кремлевская 18,2,251,50,
27,Главный корпус,Кремлевская 18,2,252,50,
28,Главный корпус,Кремлевская 18,2,254,50,
29,Главный корпус,Кремлевская 18,3,301,30,
30,Главный корпус,Кремлевская 18,3,302,30,
31,Главный корпус,Кремлевская 18,3,305,30,
32,Главный корпус,Кремлевская 18,3,306А,30,
33,Главный корпус,Кремлевская 18,3,310,30,Проектор
34,Главный корпус,Кремлевская 18,3,329,30,
35,Главный корпус,Кремлевская 18,3,330,30,
36,Главный корпус,Кремлевская 18,3,331,30,
37,Главный корпус,Кремлевская 18,3,332,30,Проектор
38,Главный корпус,Кремлевская 18,3,335,30,
39,Главный корпус,Кремлевская 18,3,336,30,
40,Главный корпус,Кремлевская 18,3,338,30,
41,Главный корпус,Кремлевская 18,3,342,30,
42,Главный корпус,Кремлевская 18,3,343,30,
43,Главный корпус,Кремлевская 18,3,344,30,
44,Главный корпус,Кремлевская 18,3,347,30,
45,Главный корпус,Кремлевская 18,3,348,30,
46,Главный корпус,Кремлевская 18,3,349,30,
47,Главный корпус,Кремлевская 18,3,350,30,
48,Восточное крыло главного корпуса,Кремлевская 18,подвал,0011в,20,
49,Восточное крыло главного корпуса,Кремлевская 18,подвал,008в,20,
50,Восточное крыло главного корпуса,Кремлевская 18,цокольный,Конференц-зал,300,Трибуна
51,Восточное крыло главного корпуса,Кремлевская 18,цокольный,010(1),20,
52,Восточное крыло главного корпуса,Кремлевская 18,цокольный,010(2),20,
53,Восточное крыло главного корпуса,Кремлевская 18,цокольный,011в,20,
54,Восточное крыло главного корпуса,Кремлевская 18,цокольный,012в,20,
55,Восточное крыло главного корпуса,Кремлевская 18,цокольный,013в,20,Проектор
56,Восточное крыло главного корпуса,Кремлевская 18,цокольный,015в,20,
57,Восточное крыло главного корпуса,Кремлевская 18,цокольный,016в,20,
58,Восточное крыло главного корпуса,Кремлевская 18,цокольный,018в,20,
59,Восточное крыло главного корпуса,Кремлевская 18,цокольный,019в,20,Проектор
60,Восточное крыло главного корпуса,Кремлевская 18,цокольный,020в,20,Проектор
61,Восточное крыло главного корпуса,Кремлевская 18,цокольный,023в,20,Проектор
62,Восточное крыло главного корпуса,Кремлевская 18,цокольный,024в,20,
63,Восточное крыло главного корпуса,Кремлевская 18,цокольный,05в,20,
64,Восточное крыло главного корпуса,Кремлевская 18,цокольный,07в,20,Проектор
65,Восточное крыло главного корпуса,Кремлевская 18,цокольный,08в,20,
66,Восточное крыло главного корпуса,Кремлевская 18,1,104в,30,
67,Восточное крыло главного корпуса,Кремлевская 18,1,109в,30,
68,Восточное крыло главного корпуса,Кремлевская 18,1,111(1),30,
69,Восточное крыло главного корпуса,Кремлевская 18,1,111(2),30,
70,Восточное крыло главного корпуса,Кремлевская 18,1,113в,30,
71,Восточное крыло главного корпуса,Кремлевская 18,1,115в,30,
72,Восточное крыло главного корпуса,Кремлевская 18,1,116в,30,
73,Восточное крыло главного корпуса,Кремлевская 18,1,117в,30,Проектор
74,Восточное крыло главного корпуса,Кремлевская 18,2,201в,50,
75,Восточное крыло главного корпуса,Кремлевская 18,2,203в,50,
76,Восточное крыло главного корпуса,Кремлевская 18,2,207в,50,Проектор
77,Восточное крыло главного корпуса,Кремлевская 18,2,210в,50,
78,Восточное крыло главного корпуса,Кремлевская 18,2,211в,50,Проектор
79,Восточное крыло главного корпуса,Кремлевская 18,2,212в,50,
80,Восточное крыло главного корпуса,Кремлевская 18,2,213в,50,Проектор
81,Восточное крыло главного корпуса,Кремлевская 18,2,214в,50,
82,Восточное крыло главного корпуса,Кремлевская 18,3,305в,30,
83,Восточное крыло главного корпуса,Кремлевская 18,3,306в,30,
84,Восточное крыло главного корпуса,Кремлевская 18,3,310в,30,
85,Восточное крыло главного корпуса,Кремлевская 18,3,311в,30,
86,Восточное крыло главного корпуса,Кремлевская 18,3,312в,30,Проектор
87,Восточное крыло главного корпуса,Кремлевская 18,3,313в,30,
